Species,Treatment,Energy,Energy (400-500),Energy (500-600),Energy (600-700),Energy (700-800),PFD,PFD (400-500),PFD (500-600),PFD (600-700),PFD (700-800),CO2 ave,CO2 std,T ave,T std,RH ave,RH std,Photoperiod (h),Day,Fresh Mass (g),Dry Mass (g)
Rouxai,Greenhouse,34.10750405,0.285531665,0.281958372,0.241327803,0.19118216,180.48,0.22131292,0.265367349,0.26806067,0.245259061,410,50,22.4,0.6,34,10,20,33,27.453524,1.6340912
Rouxai,R180,33.10750405,0.00066045,0.003112528,0.987870568,0.008356454,182.4698412,0.000443281,0.0027206,0.987706013,0.009130106,398,35,22.5,0.6,35,7,20,30,76.104125,3.0186107
Rouxai,G60R120,36.86744313,0.022273902,0.373007274,0.597874084,0.00684474,187.314724,0.017602675,0.326329318,0.647873123,0.008194883,398,35,22.5,0.6,35,7,20,30,69.142664,2.82735
Rouxai,B20R160,34.69638717,0.151907187,0.004639183,0.834574184,0.008879446,181.7097075,0.108396972,0.004167379,0.877131356,0.010304292,398,35,22.5,0.6,35,7,20,30,49.678857,2.3256164
Rouxai,B20G60R100,38.04860616,0.168749932,0.351169,0.474939127,0.005141941,184.1518405,0.131638247,0.321905686,0.540012056,0.00644401,398,35,22.5,0.6,35,7,20,30,58.563843,2.5222125
Rouxai,B60R120,38.54987047,0.411030343,0.005601412,0.57756089,0.005807355,183.6761456,0.320562694,0.005458581,0.666581752,0.007396973,398,35,22.5,0.6,35,7,20,30,45.451943,2.1124064
Rouxai,B60G60R60,40.56799248,0.409396337,0.328653168,0.259149626,0.002800869,179.6711774,0.346007447,0.329083581,0.321055187,0.003853786,398,35,22.5,0.6,35,7,20,30,32.102525,1.5732014
Rouxai,B100R80,42.0379029,0.632234745,0.003876458,0.360661619,0.003227178,184.7279861,0.540396623,0.00396435,0.451189131,0.004449896,398,35,22.5,0.6,35,7,20,30,31.879839,1.61607
Rouxai,B100G60R20,45.35969633,0.605165709,0.299829648,0.093531211,0.001473431,187.3168272,0.551310654,0.322387255,0.12411992,0.002182171,398,35,22.5,0.6,35,7,20,30,25.91995,1.2916818
Rouxai,EQW180,38.2913731,0.10740767,0.612311454,0.253144012,0.027136864,181.3752592,0.086094231,0.595980059,0.282916806,0.035008904,398,35,22.5,0.6,35,7,20,30,62.143814,2.2930993
Rouxai,EQW100B10R70,36.30789827,0.132983551,0.348186011,0.500715592,0.018114846,179.4358086,0.101756048,0.32470263,0.551217992,0.02232333,398,35,22.5,0.6,35,7,20,30,54.723282,2.1736914
Rouxai,EQW100B50R30,39.91689974,0.391378913,0.320261009,0.273358926,0.015001152,180.2909375,0.326443272,0.32663014,0.326664644,0.020261944,398,35,22.5,0.6,35,7,20,30,34.951093,1.652635
Rouxai,WW180,35.83664155,0.086756689,0.31235813,0.513864231,0.08702095,182.2752252,0.066064689,0.285299063,0.54449793,0.104138319,398,35,22.5,0.6,35,7,20,30,63.712607,2.5437807
Rouxai,Greenhouse,34.88,0.285531664,0.281958372,0.241327802,0.191182161,180,0.22131292,0.265367349,0.26806067,0.245259062,398,35,22.5,0.6,35,7,20,30,28.854214,1.7174632
Cherokee,Greenhouse,40.83464373,0.274744048,0.172085076,0.45406095,0.099109927,315,0.207821697,0.12903836,0.573131527,0.090008416,420,37,23.1,0.8,43,9,15,9,0.5545,0.03978855
Cherokee,Greenhouse,40.83464373,0.274744048,0.172085076,0.45406095,0.099109927,315,0.207821697,0.12903836,0.573131527,0.090008416,420,37,23.1,0.8,43,9,15,9,1.52,0.095322034
Cherokee,Greenhouse,40.83464373,0.274744048,0.172085076,0.45406095,0.099109927,315,0.207821697,0.12903836,0.573131527,0.090008416,420,37,23.1,0.8,43,9,15,9,0.353,0.027487705
Cherokee,Greenhouse,40.83464373,0.274744048,0.172085076,0.45406095,0.099109927,315,0.207821697,0.12903836,0.573131527,0.090008416,420,37,23.1,0.8,43,9,15,9,0.431,0.03448
Cherokee,Greenhouse,40.83464373,0.274744048,0.172085076,0.45406095,0.099109927,315,0.207821697,0.12903836,0.573131527,0.090008416,420,37,23.1,0.8,43,9,15,9,2.043,0.143368421
